id,lat,lng,name,area
001_05,6.257592641464586,-75.61103889727721,,0.03
002_05,5.803728971611896,-75.43847448767818,,0.04
004_05,6.627547179784441,-76.08597760448505,,0.02
021_05,6.365534124531456,-75.09059702207428,,0.01
030_05,6.03292173612482,-75.70800317947769,,0.01
031_05,6.97769019480999,-74.98127298210112,,0.1
034_05,5.623951264764598,-75.92459670721371,,0.03
036_05,6.121430302416073,-75.71594966263253,,0.01
038_05,6.861500288525776,-75.35827277885366,,0.03
040_05,7.193110409714413,-75.10848961944873,,0.12
042_05,6.535684645833721,-75.90410742996069,,0.04
044_05,6.308040259081841,-75.912590871055,,0.02
045_05,7.89613789228522,-76.56695126924149,,0.04
051_05,8.611388683613644,-76.41478327261788,,0.06
055_05,5.708114524298182,-75.09469795424248,,0.02
059_05,6.1636837576186965,-75.80995528134915,,0.01
079_05,6.443422910706954,-75.32922996170242,,0.02
086_05,6.653662775171179,-75.65385119887763,,0.02
088_05,6.35888517793328,-75.58977333222107,,0.01
091_05,5.727080814149553,-75.98689129603011,,0.01
093_05,6.185783611740526,-75.9564924625905,,0.02
101_05,5.840844862187251,-76.00937339565067,,0.02
107_05,7.111788461275065,-75.56223473759351,,0.03
113_05,6.809030958937557,-75.91206328587988,,0.03
120_05,7.665303477917075,-75.22368535199455,,0.15
125_05,6.423463638750912,-75.99351498046983,,0.02
129_05,6.05444684092057,-75.62642674313436,,0.01
134_05,7.035429472327752,-75.29224951781944,,0.02
138_05,6.814950022518442,-76.02689632024202,,0.03
142_05,6.33797387997167,-74.73354817280826,,0.02
145_05,5.555275295489637,-75.63082096373046,,0.01
147_05,7.789166123693096,-76.65668193943627,,0.03
148_05,5.978083681719095,-75.26353670499019,,0.03
150_05,6.754821441842319,-75.3059065393028,,0.01
154_05,7.867885421885927,-75.03490543227947,,0.12
172_05,7.6316656436916706,-76.63964212663159,,0.06
190_05,6.550081148327249,-75.08253096483328,,0.0
197_05,6.005593455998757,-75.16015118656419,,0.02
206_05,6.376106186635344,-75.21785901368773,,0.02
209_05,6.057468678170261,-75.9001467835068,,0.02
212_05,6.351831970211945,-75.50077532747282,,0.01
234_05,6.992243781882163,-76.31426328411237,,0.16
237_05,6.505410502312285,-75.36682887939003,,0.02
240_05,6.326455152874364,-75.7833109904573,,0.02
250_05,7.704633350865812,-74.66427726340392,,0.13
264_05,6.594656003370073,-75.5591308331346,,0.02
266_05,6.153575539747901,-75.54489799548895,,0.01
282_05,5.887884056937293,-75.67932679786796,,0.02
284_05,6.691366679891526,-76.33198553930805,,0.11
306_05,6.6630847148485115,-75.9480768854576,,0.01
308_05,6.379753559436678,-75.44794163441448,,0.01
310_05,6.709562838969754,-75.19270291201234,,0.03
313_05,6.123380720799068,-75.12763646279625,,0.02
315_05,6.861575642392779,-75.22591386560606,,0.01
318_05,6.2666189093538245,-75.4373168802848,,0.01
321_05,6.245775609334043,-75.1585189235877,,0.01
347_05,6.214525617801694,-75.74972209609233,,0.01
353_05,5.79506311390618,-75.90651016009791,,0.0
360_05,6.179279438047212,-75.61420369859377,,0.0
361_05,7.302946258917234,-75.85035105649516,,0.23
364_05,5.574455406903942,-75.81843366805498,,0.02
368_05,5.769820535792505,-75.76488255592803,,0.02
376_05,5.992526917910064,-75.43086781226468,,0.01
380_05,6.13759721956629,-75.64895149324045,,0.0
390_05,5.746658098448124,-75.6023959587087,,0.0
400_05,5.940434878674353,-75.35428945965728,,0.01
411_05,6.723990934468624,-75.78300045762279,,0.02
425_05,6.534573585127775,-74.71410854121991,,0.03
440_05,6.18521037071868,-75.30486674531005,,0.01
467_05,5.916858834864803,-75.51972796580151,,0.01
475_05,6.8287738552249095,-76.70861349100659,,0.1
480_05,7.329557847886908,-76.4630656953882,,0.09
483_05,5.581275312143033,-75.19457018541102,,0.03
490_05,8.49372835417412,-76.67699340130663,,0.1
495_05,7.990467678570554,-74.79242149190561,,0.08
501_05,6.611418083045093,-75.7756709691536,,0.01
541_05,6.232396367524003,-75.22350905526794,,0.01
543_05,7.04418005793238,-75.88968843419943,,0.04
576_05,5.8097018599787935,-75.86076666626077,,0.01
579_05,6.481922266966121,-74.52874210058087,,0.1
585_05,6.126539139152825,-74.70317721728595,,0.05
591_05,5.954830150466487,-74.6861917977579,,0.03
604_05,6.998134717476439,-74.55689106252366,,0.16
607_05,6.051470169250622,-75.51572683800997,,0.02
615_05,6.150798722366747,-75.41075443249923,,0.02
628_05,6.901000505986099,-75.79222753446493,,0.02
631_05,6.138302381341678,-75.6087975085842,,0.0
642_05,5.970502333447357,-75.98137251142381,,0.02
647_05,6.914562873234273,-75.66517664686664,,0.02
649_05,6.193789659121203,-74.90732768977611,,0.06
652_05,5.879509552413719,-74.97601633581597,,0.03
656_05,6.438300408739267,-75.70310727243687,,0.01
658_05,6.823258912350898,-75.677708262469,,0.01
659_05,8.707147598402889,-76.53249333696795,,0.02
660_05,6.014516819426746,-74.96200549699036,,0.03
664_05,6.458668845261333,-75.56248101256637,,0.02
665_05,8.379156949628628,-76.31664233415438,,0.05
667_05,6.310744529784611,-74.99858651613968,,0.03
670_05,6.448675157746526,-74.93185881472976,,0.03
674_05,6.310387521673197,-75.32740162791956,,0.02
679_05,5.878984955871564,-75.58330371060211,,0.02
686_05,6.6758425706047415,-75.43815003892803,,0.07
690_05,6.481053869811952,-75.14259204546782,,0.02
697_05,6.124210930625179,-75.25212605944398,,0.01
736_05,7.266882634120629,-74.621653143851,,0.09
756_05,5.762498496072479,-75.05936631239621,,0.11
761_05,6.520161149415908,-75.74559267698265,,0.02
789_05,5.673758570625989,-75.70979974307303,,0.02
790_05,7.488875996572778,-75.40189437765825,,0.09
792_05,5.871064556745634,-75.82871144321723,,0.01
809_05,6.0583499707986626,-75.79966004694643,,0.01
819_05,7.013692234687468,-75.71033029449922,,0.01
837_05,7.9981888282001785,-76.7239206508709,,0.24
842_05,6.913916924035624,-76.13318513560554,,0.02
847_05,6.3353413395968845,-76.25906481888103,,0.21
854_05,7.265404212934124,-75.40094501539834,,0.05
856_05,5.651954067822837,-75.63083394446899,,0.01
858_05,6.838250998773437,-74.75459223922414,,0.04
861_05,5.956576355261566,-75.7772242262157,,0.01
873_05,6.453351334171646,-76.69504801705621,,0.14
885_05,6.7168706775931675,-74.75565002425542,,0.04
887_05,6.986575028776318,-75.45892617401478,,0.06
890_05,6.645325320639886,-74.92275438815585,,0.08
893_05,6.925159317773387,-74.1582404143789,,0.16
895_05,7.474004005261952,-74.85848325821202,,0.1
001_08,10.981512534069017,-74.82774391412364,,0.01
078_08,10.793293018621949,-74.92219490601677,,0.01
137_08,10.402620855715956,-74.87840832083481,,0.01
141_08,10.489020471071996,-74.87756626840375,,0.01
296_08,10.897719906973222,-74.88708787633728,,0.01
372_08,10.82305932860652,-75.07841797504203,,0.01
421_08,10.635031161129547,-75.15402741017171,,0.02
433_08,10.84828899986562,-74.8061754700133,,0.01
436_08,10.454145308090835,-74.98477431168263,,0.02
520_08,10.694811581184075,-74.77015103084334,,0.01
549_08,10.740779525581793,-75.1436457977641,,0.02
558_08,10.767401413766295,-74.85414843596658,,0.01
560_08,10.594651050697268,-74.79847290791123,,0.02
573_08,11.004697111858027,-74.90647992377848,,0.01
606_08,10.507570512975464,-75.12188052714774,,0.03
634_08,10.798940150976586,-74.76879660345736,,0.0
638_08,10.622507835875602,-74.955104814683,,0.03
675_08,10.35364192003629,-74.96541178667496,,0.0
